cache_state,endpoint_id,latency_observation_count,latency_p50_seconds,prefill_headline_eligible,prefill_proxy_observation_count,prefill_proxy_p50_tokens_per_second,request_count,sampling_unit,ttft_observation_count,ttft_p50_ci95,ttft_p50_seconds,ttft_p95_seconds,workload
not_reported_unknown,gemma-4-31B-it,3,2.379902979999315,False,0,,3,request_id,3,"{""bootstrap_replicates"":2000,""ci95_high"":0.7217570020002313,""ci95_low"":0.5003063959884457,""estimate"":0.6318131970183458,""n_units"":3,""qualified"":true,""sampling_unit"":""request_id""}",0.6318131970183458,0.7217570020002313,coding_executable
not_reported_unknown,gemma-4-31B-it,3,2.215908091,False,0,,3,request_id,0,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""request_id""}",,,completion_cache_observation
cache_miss_observed,gemma-4-31B-it,2,3.191381627024384,True,2,4.066671955325196,2,request_id,2,"{""bootstrap_replicates"":2000,""ci95_high"":23.606526677001966,""ci95_low"":0.4730074930121191,""estimate"":0.4730074930121191,""n_units"":2,""qualified"":true,""sampling_unit"":""request_id""}",0.4730074930121191,23.606526677001966,completion_realized_output_envelope
not_reported_unknown,gemma-4-31B-it,2,5.698798838013317,False,0,,2,request_id,2,"{""bootstrap_replicates"":2000,""ci95_high"":0.4776626389939338,""ci95_low"":0.44625262400950305,""estimate"":0.44625262400950305,""n_units"":2,""qualified"":true,""sampling_unit"":""request_id""}",0.44625262400950305,0.4776626389939338,completion_realized_output_envelope
not_reported_unknown,gemma-4-31B-it,0,,False,0,,6,request_id,0,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""request_id""}",,,context_boundary
not_reported_unknown,gemma-4-31B-it,31,5.505668505997164,False,0,,31,request_id,29,"{""bootstrap_replicates"":2000,""ci95_high"":0.7071467119967565,""ci95_low"":0.46061159402597696,""estimate"":0.6240832890034653,""n_units"":29,""qualified"":true,""sampling_unit"":""request_id""}",0.6240832890034653,28.44297243998153,controlled_output
cache_miss_observed,gemma-4-31B-it,1,3.2502870530006476,True,1,27.171029601621132,1,request_id,1,"{""bootstrap_replicates"":2000,""ci95_high"":0.7728820110205561,""ci95_low"":0.7728820110205561,""estimate"":0.7728820110205561,""n_units"":1,""qualified"":true,""sampling_unit"":""request_id""}",0.7728820110205561,0.7728820110205561,direct_capability_parameter
not_reported_unknown,gemma-4-31B-it,7,180.001576555,False,0,,7,request_id,0,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""request_id""}",,,direct_capability_parameter
cache_miss_observed,gemma-4-31B-it,1,11.546246051992057,True,1,8.82431339489251,1,request_id,1,"{""bootstrap_replicates"":2000,""ci95_high"":2.8330816100060474,""ci95_low"":2.8330816100060474,""estimate"":2.8330816100060474,""n_units"":1,""qualified"":true,""sampling_unit"":""request_id""}",2.8330816100060474,2.8330816100060474,direct_capability_structured_output
cache_miss_observed,gemma-4-31B-it,2,4.035200878977776,True,2,54.60024608554646,2,request_id,2,"{""bootstrap_replicates"":2000,""ci95_high"":1.5018247330153827,""ci95_low"":0.6432656169927213,""estimate"":0.6432656169927213,""n_units"":2,""qualified"":true,""sampling_unit"":""request_id""}",0.6432656169927213,1.5018247330153827,direct_capability_tools
not_reported_unknown,gemma-4-31B-it,3,0.39284026,False,0,,3,request_id,0,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""request_id""}",,,direct_capability_tools
cache_hit_observed,gemma-4-31B-it,2,108.59477863501525,False,0,,2,request_id,2,"{""bootstrap_replicates"":2000,""ci95_high"":118.59817454899894,""ci95_low"":100.17020240199054,""estimate"":100.17020240199054,""n_units"":2,""qualified"":true,""sampling_unit"":""request_id""}",100.17020240199054,118.59817454899894,direct_context_retrieval
not_reported_unknown,gemma-4-31B-it,25,180.002196207,False,0,,25,request_id,0,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""request_id""}",,,direct_context_retrieval
not_reported_unknown,gemma-4-31B-it,58,10.467724543996155,False,0,,58,request_id,58,"{""bootstrap_replicates"":2000,""ci95_high"":5.983161134994589,""ci95_low"":4.542212714004563,""estimate"":5.490282885002671,""n_units"":58,""qualified"":true,""sampling_unit"":""request_id""}",5.490282885002671,21.28981047202251,direct_input32k_short
