achieved_rate_denominator,aggregate_output_metric_provenance,arrival_latency_estimand,arrival_latency_p95_across_blocks,arrival_latency_p95_across_blocks_ci95_high,arrival_latency_p95_across_blocks_ci95_low,arrival_latency_p95_across_blocks_ci_method,arrival_latency_p95_across_blocks_n,arrival_latency_p95_across_blocks_unit,arrival_window_seconds_sum,blocks_n,capacity_estimand_blocks_n,capacity_estimand_state,censored_block_reasons_json,censored_blocks_n,completed_rpm,completed_rpm_ci95_high,completed_rpm_ci95_low,completed_rpm_ci_method,completed_rpm_n,completed_rpm_unit,completion_rate,completion_rate_ci95_high,completion_rate_ci95_low,completion_rate_ci_method,completion_rate_n,completion_rate_unit,early_termination_seconds_sum,elapsed_wall_seconds_sum,healthy_blocks_n,launch_rate,launch_rate_ci95_high,launch_rate_ci95_low,launch_rate_ci_method,launch_rate_n,launch_rate_unit,launched_logical_rpm,launched_logical_rpm_ci95_high,launched_logical_rpm_ci95_low,launched_logical_rpm_ci_method,launched_logical_rpm_n,launched_logical_rpm_unit,logical_requests_launched_n,observed_blocks_healthy_n,observed_requests_completed_n,observed_requests_successful_n,offered_rate_denominator,offered_rpm,offered_rpm_ci95_high,offered_rpm_ci95_low,offered_rpm_ci_method,offered_rpm_n,offered_rpm_unit,offered_rps_target,phase,physical_attempt_rpm,physical_attempt_rpm_ci95_high,physical_attempt_rpm_ci95_low,physical_attempt_rpm_ci_method,physical_attempt_rpm_n,physical_attempt_rpm_unit,physical_attempt_success_rate,physical_attempt_success_rate_ci95_high,physical_attempt_success_rate_ci95_low,physical_attempt_success_rate_ci_method,physical_attempt_success_rate_n,physical_attempt_success_rate_unit,physical_attempts_n,physical_other_outcomes_n,physical_rate_limited_n,physical_server_errors_n,physical_status_provenance,physical_successes_n,physical_timeouts_n,physical_transport_errors_n,post_arrival_drain_p50,post_arrival_drain_p50_ci95_high,post_arrival_drain_p50_ci95_low,post_arrival_drain_p50_ci_method,post_arrival_drain_p50_n,post_arrival_drain_p50_unit,post_arrival_drain_seconds_sum,quality_adjusted_rpm,quality_adjusted_rpm_ci95_high,quality_adjusted_rpm_ci95_low,quality_adjusted_rpm_ci_method,quality_adjusted_rpm_n,quality_adjusted_rpm_unit,quality_censored_blocks_n,quality_complete_blocks_n,quality_mean,quality_mean_ci95_high,quality_mean_ci95_low,quality_mean_ci_method,quality_mean_n,quality_mean_unit,quality_reporting_state,quality_verification_counts_json,raw_runner_elapsed_seconds_sum,requests_completed_n,requests_successful_n,route_id,sampling_unit,service_latency_estimand,service_latency_p95_across_blocks,service_latency_p95_across_blocks_ci95_high,service_latency_p95_across_blocks_ci95_low,service_latency_p95_across_blocks_ci_method,service_latency_p95_across_blocks_n,service_latency_p95_across_blocks_unit,shape,success_rate,success_rate_ci95_high,success_rate_ci95_low,success_rate_ci_method,success_rate_estimand,success_rate_n,success_rate_unit,successful_input_tpm,successful_input_tpm_ci95_high,successful_input_tpm_ci95_low,successful_input_tpm_ci_method,successful_input_tpm_n,successful_input_tpm_unit,successful_output_tpm,successful_output_tpm_ci95_high,successful_output_tpm_ci95_low,successful_output_tpm_ci_method,successful_output_tpm_n,successful_output_tpm_unit,successful_rpm,successful_rpm_ci95_high,successful_rpm_ci95_low,successful_rpm_ci_method,successful_rpm_n,successful_rpm_unit,tpm_censored_blocks_n,tpm_complete_blocks_n,tpm_estimand,tpm_reporting_state,ttft_estimand,ttft_p95_across_blocks,ttft_p95_across_blocks_ci95_high,ttft_p95_across_blocks_ci95_low,ttft_p95_across_blocks_ci_method,ttft_p95_across_blocks_n,ttft_p95_across_blocks_unit,unknown_outcomes_n,usage_verification_counts_json,warm_state
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,5.617927498772042,,,single-block-no-CI,1,seconds,40.0,1,1,eligible_blocks_only,{},0,29.07069060385184,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,41.278689122060314,0,1.0,,,single-block-no-CI,1,proportion,29.07069060385184,,,single-block-no-CI,1,requests/minute,20,0,20,20,scheduled-arrival window,30.0,,,single-block-no-CI,1,requests/minute,0.5,baseline,29.07069060385184,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,1.2786891220603138,,,single-block-no-CI,1,seconds,1.2786891220603138,17.442414362311105,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.6,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",41.278689122060314,20,20,kimi-k3,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,5.610736969060964,,,single-block-no-CI,1,seconds,short_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,29.07069060385184,,,single-block-no-CI,1,requests/minute,1,0,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",censored_no_complete_usage_block,successful_final_logical_outcomes_with_observed_ttft_only,4.953223305282881,,,single-block-no-CI,1,seconds,0,"{""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,6.22137830521679,,,single-block-no-CI,1,seconds,20.0,1,1,eligible_blocks_only,{},0,51.1612677453685,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,23.455243641976267,0,1.0,,,single-block-no-CI,1,proportion,51.1612677453685,,,single-block-no-CI,1,requests/minute,20,0,20,20,scheduled-arrival window,60.0,,,single-block-no-CI,1,requests/minute,1.0,baseline,51.1612677453685,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,3.455243641976267,,,single-block-no-CI,1,seconds,3.455243641976267,38.370950809026375,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.75,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",23.455243641976267,20,20,kimi-k3,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,6.214874155551666,,,single-block-no-CI,1,seconds,short_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,51.1612677453685,,,single-block-no-CI,1,requests/minute,1,0,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",censored_no_complete_usage_block,successful_final_logical_outcomes_with_observed_ttft_only,7.729488256585311,,,single-block-no-CI,1,seconds,0,"{""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,67.59649991728365,,,single-block-no-CI,1,seconds,5.0,2,1,eligible_blocks_only,"{""zero_scheduled_poisson_arrivals"":1}",1,1.68872582630768,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,71.05949238804169,1,1.0,,,single-block-no-CI,1,proportion,1.68872582630768,,,single-block-no-CI,1,requests/minute,2,1,2,2,scheduled-arrival window,24.0,,,single-block-no-CI,1,requests/minute,0.25,aimd,1.68872582630768,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,2,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",2,0,0,66.05949238804169,,,single-block-no-CI,1,seconds,66.05949238804169,0.84436291315384,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.5,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",71.05949238804169,2,2,mimo-v2.5-pro,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,67.58643340461421,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,911.0675832929934,,,single-block-no-CI,1,tokens/minute,4433.749656970814,,,single-block-no-CI,1,tokens/minute,1.68872582630768,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,7.217689206637442,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,32.7701157051255,,,single-block-no-CI,1,seconds,5.0,1,1,eligible_blocks_only,{},0,3.288349724295173,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,36.49246888596099,1,1.0,,,single-block-no-CI,1,proportion,3.288349724295173,,,single-block-no-CI,1,requests/minute,2,1,2,2,scheduled-arrival window,24.0,,,single-block-no-CI,1,requests/minute,0.5,aimd,3.288349724295173,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,2,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",2,0,0,31.49246888596099,,,single-block-no-CI,1,seconds,31.49246888596099,0.0,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.0,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",36.49246888596099,2,2,mimo-v2.5-pro,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,32.760652344330445,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,1772.4205013950982,,,single-block-no-CI,1,tokens/minute,6048.9193178409705,,,single-block-no-CI,1,tokens/minute,3.288349724295173,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,3.7926955881353934,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,68.94778757941094,78.9177018184273,33.67733975287701,epoch/block-bootstrap-percentile,6,seconds,30.0,6,6,eligible_blocks_only,{},0,4.840103403294738,6.1147896188137505,3.781223270748991,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,0.0,396.6857399560977,6,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,4.840103403294738,6.1147896188137505,3.781223270748991,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,32,6,32,32,scheduled-arrival window,64.0,80.0,46.0,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,1.0,aimd,4.840103403294738,6.1147896188137505,3.781223270748991,epoch/block-bootstrap-ratio-of-sums,6,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,6,proportion,32,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",32,0,0,69.64099063549656,82.09461985604139,31.607259486510884,epoch/block-bootstrap-percentile,6,seconds,366.6857399560977,0.6050129254118423,0.7792409239216304,0.332705743058654,epoch/block-bootstrap-ratio-of-sums,6,quality-weighted successful tasks/minute,0,6,0.125,0.1875,0.05714285714285714,epoch/block-bootstrap-ratio-of-sums,6,proportion,complete,"{""request_ledger_join"":6}",396.6857399560977,32,32,mimo-v2.5-pro,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,68.93752858362859,78.90697859012579,33.667452585854335,epoch/block-bootstrap-percentile,6,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",6,proportion,2611.5382925402173,3298.3322058276913,2039.0657490043363,epoch/block-bootstrap-ratio-of-sums,6,tokens/minute,10117.026138736826,11480.48074248022,8516.36391095894,epoch/block-bootstrap-ratio-of-sums,6,tokens/minute,4.840103403294738,6.1147896188137505,3.781223270748991,epoch/block-bootstrap-ratio-of-sums,6,requests/minute,0,6,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,9.24801601161598,12.351738407832453,7.791257908640546,epoch/block-bootstrap-percentile,6,seconds,0,"{""request_ledger_join"":6}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,82.8782973808411,,,single-block-no-CI,1,seconds,20.0,1,1,eligible_blocks_only,{},0,13.181749139030227,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,91.03495957504492,1,1.0,,,single-block-no-CI,1,proportion,13.181749139030227,,,single-block-no-CI,1,requests/minute,20,1,20,20,scheduled-arrival window,60.0,,,single-block-no-CI,1,requests/minute,1.0,baseline,13.181749139030227,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,71.03495957504492,,,single-block-no-CI,1,seconds,71.03495957504492,0.6590874569515114,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.05,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",91.03495957504492,20,20,mimo-v2.5-pro,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,82.86865396415814,,,single-block-no-CI,1,seconds,short_long,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,7114.190010334614,,,single-block-no-CI,1,tokens/minute,26573.088089371035,,,single-block-no-CI,1,tokens/minute,13.181749139030227,,,single-block-no-CI,1,requests/minute,0,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,15.356694948859518,,,single-block-no-CI,1,seconds,0,"{""request_ledger_join"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,59.07301679821103,102.86444537923671,55.36470759366057,epoch/block-bootstrap-percentile,3,seconds,15.0,3,3,eligible_blocks_only,{},0,3.6854504474007834,6.137966654311686,1.9810245964334738,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,0.0,227.923292413936,3,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,3.6854504474007834,6.137966654311686,1.9810245964334738,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,14,3,14,14,scheduled-arrival window,56.0,72.0,24.0,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,1.0,confirmation,3.6854504474007834,6.137966654311686,1.9810245964334738,epoch/block-bootstrap-ratio-of-sums,3,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,14,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",14,0,0,55.57471482991241,103.69723255804274,53.651345025980845,epoch/block-bootstrap-percentile,3,seconds,212.923292413936,0.5264929210572548,1.1039839485878515,0.0,epoch/block-bootstrap-ratio-of-sums,3,quality-weighted successful tasks/minute,0,3,0.14285714285714285,0.3333333333333333,0.0,epoch/block-bootstrap-ratio-of-sums,3,proportion,complete,"{""request_ledger_join"":3}",227.923292413936,14,14,mimo-v2.5-pro,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,59.06367966440739,102.85475030945963,55.353453230753075,epoch/block-bootstrap-percentile,3,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",3,proportion,1989.6167486753657,3316.547982213081,1065.791232881209,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,8988.287148289453,15132.133791763077,5187.312905761051,epoch/block-bootstrap-ratio-of-sums,3,tokens/minute,3.6854504474007834,6.137966654311686,1.9810245964334738,epoch/block-bootstrap-ratio-of-sums,3,requests/minute,0,3,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",complete,successful_final_logical_outcomes_with_observed_ttft_only,6.864640046027489,13.423283586482285,6.224407726345817,epoch/block-bootstrap-percentile,3,seconds,0,"{""request_ledger_join"":3}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,123.87969570447456,183.52282674689775,64.23656466205138,epoch/block-bootstrap-percentile,2,seconds,10.0,2,2,eligible_blocks_only,{},0,2.1215129530491343,4.398264109629985,1.3978955713771706,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,0.0,282.81703354092315,1,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,2.1215129530491343,4.398264109629985,1.3978955713771706,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,10,1,10,10,scheduled-arrival window,60.0,60.0,60.0,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1.0,confirmation_separator,2.1215129530491343,4.398264109629985,1.3978955713771706,epoch/block-bootstrap-ratio-of-sums,2,attempts/minute,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,10,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",10,0,0,136.40851677046157,209.6083056150237,63.20872792589944,epoch/block-bootstrap-percentile,2,seconds,272.81703354092315,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,2,quality-weighted successful tasks/minute,0,2,0.0,0.0,0.0,epoch/block-bootstrap-ratio-of-sums,2,proportion,complete,"{""request_ledger_join"":2}",282.81703354092315,10,10,mimo-v2.5-pro,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,123.86991165230282,183.51348229602442,64.22634100858122,epoch/block-bootstrap-percentile,2,seconds,short_long,1.0,1.0,1.0,epoch/block-bootstrap-ratio-of-sums,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",2,proportion,2373.30331355634,,,single-block-no-CI,1,tokens/minute,9531.917978390104,,,single-block-no-CI,1,tokens/minute,2.1215129530491343,4.398264109629985,1.3978955713771706,epoch/block-bootstrap-ratio-of-sums,2,requests/minute,1,1,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",partial_complete_blocks_only,successful_final_logical_outcomes_with_observed_ttft_only,8.005519158800599,10.54615058603231,5.464887731568887,epoch/block-bootstrap-percentile,2,seconds,0,"{""request_ledger_join"":1,""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,3.188592890417204,,,single-block-no-CI,1,seconds,80.0,1,1,eligible_blocks_only,{},0,14.653443280785366,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,81.89201520802453,0,1.0,,,single-block-no-CI,1,proportion,14.653443280785366,,,single-block-no-CI,1,requests/minute,20,0,20,20,scheduled-arrival window,15.0,,,single-block-no-CI,1,requests/minute,0.25,baseline,14.653443280785366,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,1.8920152080245316,,,single-block-no-CI,1,seconds,1.8920152080245316,2.930688656157073,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.2,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",81.89201520802453,20,20,minimax-m2.5,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,3.180017908738228,,,single-block-no-CI,1,seconds,short_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,14.653443280785366,,,single-block-no-CI,1,requests/minute,1,0,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",censored_no_complete_usage_block,successful_final_logical_outcomes_with_observed_ttft_only,2.437576778023504,,,single-block-no-CI,1,seconds,0,"{""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,3.2452695882006113,,,single-block-no-CI,1,seconds,40.0,1,1,eligible_blocks_only,{},0,28.94551431500029,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,41.45720082707703,0,1.0,,,single-block-no-CI,1,proportion,28.94551431500029,,,single-block-no-CI,1,requests/minute,20,0,20,20,scheduled-arrival window,30.0,,,single-block-no-CI,1,requests/minute,0.5,baseline,28.94551431500029,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,1.4572008270770311,,,single-block-no-CI,1,seconds,1.4572008270770311,8.683654294500087,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.3,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",41.45720082707703,20,20,minimax-m2.5,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,3.2383899823064013,,,single-block-no-CI,1,seconds,short_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,28.94551431500029,,,single-block-no-CI,1,requests/minute,1,0,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",censored_no_complete_usage_block,successful_final_logical_outcomes_with_observed_ttft_only,2.4529279820562806,,,single-block-no-CI,1,seconds,0,"{""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
"at least the full registered arrival window, extended through response drain",successful completion tokens / analysis-block wall-clock minute,successful_final_logical_outcomes_only,2.633855344692711,,,single-block-no-CI,1,seconds,20.0,1,1,eligible_blocks_only,{},0,54.707489331020135,,,single-block-no-CI,1,requests/minute,1.0,,,single-block-no-CI,1,proportion,0.0,21.9348395379493,0,1.0,,,single-block-no-CI,1,proportion,54.707489331020135,,,single-block-no-CI,1,requests/minute,20,0,20,20,scheduled-arrival window,60.0,,,single-block-no-CI,1,requests/minute,1.0,baseline,54.707489331020135,,,single-block-no-CI,1,attempts/minute,1.0,,,single-block-no-CI,1,proportion,20,0,0,0,"all terminal provider send attempts, including intermediate retries; other_outcomes is the residual not decomposed by the epoch event schema",20,0,0,1.9348395379493013,,,single-block-no-CI,1,seconds,1.9348395379493013,8.20612339965302,,,single-block-no-CI,1,quality-weighted successful tasks/minute,0,1,0.15,,,single-block-no-CI,1,proportion,complete,"{""request_ledger_join"":1}",21.9348395379493,20,20,minimax-m2.5,capacity-eligible load epoch/block; launch-guarded and scientifically censored blocks are retained as audit counts but excluded from provider-capacity estimands; bootstrap assumes block-level exchangeability and does not remove temporal autocorrelation,successful_final_logical_outcomes_only,2.6271535257692453,,,single-block-no-CI,1,seconds,short_short,1.0,,,single-block-no-CI,"successful final logical outcomes / all scheduled open-loop arrivals; unlaunched, unknown, and failed arrivals remain in the denominator",1,proportion,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,,,,epoch/block-bootstrap-ratio-of-sums,0,tokens/minute,54.707489331020135,,,single-block-no-CI,1,requests/minute,1,0,"successful provider-reported tokens in complete-usage blocks / at least the full registered arrival window, extended through response drain; partial results may be biased if usage missingness is informative",censored_no_complete_usage_block,successful_final_logical_outcomes_with_observed_ttft_only,2.0153461604495533,,,single-block-no-CI,1,seconds,0,"{""successful_request_usage_incomplete"":1}",uncontrolled_not_paired
