attempted_n,cache_read_tokens_reported_n,cache_read_tokens_sum,cache_stratum,completion_tokens_sum,elapsed_hours,eligible_output_rate_median,eligible_output_rate_median_ci95_high,eligible_output_rate_median_ci95_low,eligible_output_rate_median_ci_method,eligible_output_rate_median_n,eligible_output_rate_median_unit,eligible_output_rate_n,mixed_subtype,output_rate_eligibility_rule,panel,panel_started_at_utc,prompt_tokens_sum,request_latency_median,request_latency_median_ci95_high,request_latency_median_ci95_low,request_latency_median_ci_method,request_latency_median_n,request_latency_median_unit,request_latency_p95,request_latency_p95_ci95_high,request_latency_p95_ci95_low,request_latency_p95_ci_method,request_latency_p95_n,request_latency_p95_unit,route_id,settled_cost_reported_n,settled_cost_usd_sum,shape,status_counts,success_n,success_rate,success_rate_ci95_high,success_rate_ci95_low,success_rate_ci_method,success_rate_n,success_rate_unit,ttft_median,ttft_median_ci95_high,ttft_median_ci95_low,ttft_median_ci_method,ttft_median_n,ttft_median_unit,ttft_p95,ttft_p95_ci95_high,ttft_p95_ci95_low,ttft_p95_ci_method,ttft_p95_n,ttft_p95_unit,usage_eligible_n
1,1,0,panel_unique_cold,16,2.9998829869444443,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",3,2026-08-28T23:21:23.076158Z,100002,7.2769069749629125,,,single-observation-no-CI,1,seconds,7.2769069749629125,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008004192,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.561992172035389,,,single-observation-no-CI,1,seconds,6.561992172035389,,,single-observation-no-CI,1,seconds,1
1,1,0,stable_exact_prompt,128,2.9998829869444443,52.348462426600186,,,single-observation-no-CI,1,tokens/second,1,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",3,2026-08-28T23:21:23.076158Z,99996,8.932802097988315,,,single-observation-no-CI,1,seconds,8.932802097988315,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008031936,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.4876490969909355,,,single-observation-no-CI,1,seconds,6.4876490969909355,,,single-observation-no-CI,1,seconds,1
1,1,0,panel_unique_cold,16,3.999878041388889,3.394239585434718,,,single-observation-no-CI,1,tokens/second,1,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",4,2026-08-29T00:21:23.058354Z,99999,12.026490290998481,,,single-observation-no-CI,1,seconds,12.026490290998481,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008003952,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,7.312621515011415,,,single-observation-no-CI,1,seconds,7.312621515011415,,,single-observation-no-CI,1,seconds,1
1,1,99840,stable_exact_prompt,16,3.999878041388889,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",4,2026-08-29T00:21:23.058354Z,99996,1.673449983005412,,,single-observation-no-CI,1,seconds,1.673449983005412,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.002512512,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,1.3996976698981598,,,single-observation-no-CI,1,seconds,1.3996976698981598,,,single-observation-no-CI,1,seconds,1
1,1,0,panel_unique_cold,16,4.999881140833334,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",5,2026-08-29T01:21:23.069512Z,100000,6.819435760029592,,,single-observation-no-CI,1,seconds,6.819435760029592,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008004032,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.563971624942496,,,single-observation-no-CI,1,seconds,6.563971624942496,,,single-observation-no-CI,1,seconds,1
1,1,99840,stable_exact_prompt,16,4.999881140833334,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",5,2026-08-29T01:21:23.069512Z,99996,1.4640242189634591,,,single-observation-no-CI,1,seconds,1.4640242189634591,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.002512512,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,1.1885640369728208,,,single-observation-no-CI,1,seconds,1.1885640369728208,,,single-observation-no-CI,1,seconds,1
1,1,0,panel_unique_cold,16,5.999885293888889,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",6,2026-08-29T02:21:23.084463Z,100004,6.912581630982459,,,single-observation-no-CI,1,seconds,6.912581630982459,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008004352000000001,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.668487210990861,,,single-observation-no-CI,1,seconds,6.668487210990861,,,single-observation-no-CI,1,seconds,1
1,1,0,stable_exact_prompt,8,5.999885293888889,,,,request-bootstrap-percentile,0,tokens/second,0,long_short:in100000:out128,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",6,2026-08-29T02:21:23.084463Z,99996,11.107140613021329,,,single-observation-no-CI,1,seconds,11.107140613021329,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.008001695999999999,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,6.703681570012122,,,single-observation-no-CI,1,seconds,6.703681570012122,,,single-observation-no-CI,1,seconds,1
1,1,0,panel_unique_cold,124,0.0,55.65013545666693,,,single-observation-no-CI,1,tokens/second,1,structured:in1024:out512,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",0,2026-08-28T20:21:23.497405Z,1046,2.7419879239751026,,,single-observation-no-CI,1,seconds,2.7419879239751026,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.00011492800000000001,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,0.5137813080800697,,,single-observation-no-CI,1,seconds,0.5137813080800697,,,single-observation-no-CI,1,seconds,1
1,1,0,stable_exact_prompt,185,0.0,54.903373582989225,,,single-observation-no-CI,1,tokens/second,1,structured:in1024:out512,"ledger decode_eligible plus >=16 realized output tokens; completion tokens divided by request latency minus TTFT; also requires >=2 content events, >=1 second post-TTFT, known zero reasoning tokens, valid complete usage, and <=10000 tokens/second",0,2026-08-28T20:21:23.497405Z,1046,3.9436799619579688,,,single-observation-no-CI,1,seconds,3.9436799619579688,,,single-observation-no-CI,1,seconds,deepseek-v4-flash-0731,1,0.00013030000000000002,mixed,"{""success"":1}",1,1.0,1.0,0.20654931437723745,Wilson-95,1,proportion,0.5741238140035421,,,single-observation-no-CI,1,seconds,0.5741238140035421,,,single-observation-no-CI,1,seconds,1
